src,dest,path,EdgeType
CASP5-TRAN,CASP5-PROT,internal link,Gene-TRAN-Gene-PROT
CASP7-TRAN,CASP7-PROT,internal link,Gene-TRAN-Gene-PROT
CASP8-TRAN,CASP8-PROT,internal link,Gene-TRAN-Gene-PROT
CASP9-TRAN,CASP9-PROT,internal link,Gene-TRAN-Gene-PROT
CASQ1-TRAN,CASQ1-PROT,internal link,Gene-TRAN-Gene-PROT
CASQ2-TRAN,CASQ2-PROT,internal link,Gene-TRAN-Gene-PROT
CASR-TRAN,CASR-PROT,internal link,Gene-TRAN-Gene-PROT
CASTOR1-TRAN,CASTOR1-PROT,internal link,Gene-TRAN-Gene-PROT
CAT-TRAN,CAT-PROT,internal link,Gene-TRAN-Gene-PROT
CBL-TRAN,CBL-PROT,internal link,Gene-TRAN-Gene-PROT
CBLB-TRAN,CBLB-PROT,internal link,Gene-TRAN-Gene-PROT
CCKAR-TRAN,CCKAR-PROT,internal link,Gene-TRAN-Gene-PROT
CCKBR-TRAN,CCKBR-PROT,internal link,Gene-TRAN-Gene-PROT
CCL1-TRAN,CCL1-PROT,internal link,Gene-TRAN-Gene-PROT
CCL11-TRAN,CCL11-PROT,internal link,Gene-TRAN-Gene-PROT
CCL13-TRAN,CCL13-PROT,internal link,Gene-TRAN-Gene-PROT
CCL14-TRAN,CCL14-PROT,internal link,Gene-TRAN-Gene-PROT
CCL15-TRAN,CCL15-PROT,internal link,Gene-TRAN-Gene-PROT
CCL16-TRAN,CCL16-PROT,internal link,Gene-TRAN-Gene-PROT
CCL17-TRAN,CCL17-PROT,internal link,Gene-TRAN-Gene-PROT
CCL18-TRAN,CCL18-PROT,internal link,Gene-TRAN-Gene-PROT
CCL19-TRAN,CCL19-PROT,internal link,Gene-TRAN-Gene-PROT
CCL2-TRAN,CCL2-PROT,internal link,Gene-TRAN-Gene-PROT
CCL20-TRAN,CCL20-PROT,internal link,Gene-TRAN-Gene-PROT
CCL21-TRAN,CCL21-PROT,internal link,Gene-TRAN-Gene-PROT
CCL22-TRAN,CCL22-PROT,internal link,Gene-TRAN-Gene-PROT
CCL23-TRAN,CCL23-PROT,internal link,Gene-TRAN-Gene-PROT
